observation_date,MANMM101JPM189S
2014-02-01,578135200000000.0000
2014-03-01,579405300000000.0000
2014-04-01,580854800000000.0000
2014-05-01,581161200000000.0000
2014-06-01,583781500000000.0000
2014-07-01,584907100000000.0000
2014-08-01,587776500000000.0000
2014-09-01,590888500000000.0000
2014-10-01,593414400000000.0000
2014-11-01,598341600000000.0000
2014-12-01,601323400000000.0000
2015-01-01,603858800000000.0000
2015-02-01,606337800000000.0000
2015-03-01,608610200000000.0000
2015-04-01,609885300000000.0000
2015-05-01,613681900000000.0000
2015-06-01,615247400000000.0000
2015-07-01,617406800000000.0000
2015-08-01,620783100000000.0000
2015-09-01,621987800000000.0000
2015-10-01,624637200000000.0000
2015-11-01,626500300000000.0000
2015-12-01,628565300000000.0000
2016-01-01,631190100000000.0000
2016-02-01,635881500000000.0000
2016-03-01,642020200000000.0000
2016-04-01,651168900000000.0000
2016-05-01,654651600000000.0000
2016-06-01,658620500000000.0000
2016-07-01,663505100000000.0000
2016-08-01,667157500000000.0000
2016-09-01,670508600000000.0000
2016-10-01,675651700000000.0000
2016-11-01,680557000000000.0000
2016-12-01,686223300000000.0000
2017-01-01,691481300000000.0000
2017-02-01,696139800000000.0000
2017-03-01,698861200000000.0000
2017-04-01,701977500000000.0000
2017-05-01,704255300000000.0000
2017-06-01,708769800000000.0000
2017-07-01,712993100000000.0000
2017-08-01,716596900000000.0000
2017-09-01,721185000000000.0000
2017-10-01,725862600000000.0000
2017-11-01,730351700000000.0000
2017-12-01,733531000000000.0000
2018-01-01,737953400000000.0000
2018-02-01,740533200000000.0000
2018-03-01,743301200000000.0000
2018-04-01,746299500000000.0000
2018-05-01,747674900000000.0000
2018-06-01,754458900000000.0000
2018-07-01,757953700000000.0000
2018-08-01,760985100000000.0000
2018-09-01,764851000000000.0000
2018-10-01,768165000000000.0000
2018-11-01,770623900000000.0000
2018-12-01,773895500000000.0000
2019-01-01,776919400000000.0000
2019-02-01,780550100000000.0000
2019-03-01,784928000000000.0000
2019-04-01,789096400000000.0000
2019-05-01,791364100000000.0000
2019-06-01,792159700000000.0000
2019-07-01,794378300000000.0000
2019-08-01,798032000000000.0000
2019-09-01,802517900000000.0000
2019-10-01,806818600000000.0000
2019-11-01,812565400000000.0000
2019-12-01,818403900000000.0000
2020-01-01,822735300000000.0000
2020-02-01,827049100000000.0000
2020-03-01,833887700000000.0000
2020-04-01,845487400000000.0000
2020-05-01,863915400000000.0000
2020-06-01,889548200000000.0000
2020-07-01,898730800000000.0000
2020-08-01,909193600000000.0000
2020-09-01,916765700000000.0000
2020-10-01,920631200000000.0000
2020-11-01,926756600000000.0000
2020-12-01,932868500000000.0000
2021-01-01,940696100000000.0000
2021-02-01,947345900000000.0000
2021-03-01,951705200000000.0000
2021-04-01,956748600000000.0000
2021-05-01,962230800000000.0000
2021-06-01,966047500000000.0000
2021-07-01,970817200000000.0000
2021-08-01,975218000000000.0000
2021-09-01,980519200000000.0000
2021-10-01,987399200000000.0000
2021-11-01,992203900000000.0000
2021-12-01,997356400000000.0000
2022-01-01,1002571100000000.0000
2022-02-01,1007238500000000.0000
2022-03-01,1010863500000000.0000
2022-04-01,1014258500000000.0000
2022-05-01,1015376400000000.0000
2022-06-01,1020433700000000.0000
2022-07-01,1025021400000000.0000
2022-08-01,1029082900000000.0000
2022-09-01,1032719800000000.0000
2022-10-01,1036635800000000.0000
2022-11-01,1041534100000000.0000
2022-12-01,1045128900000000.0000
2023-01-01,1047976800000000.0000
2023-02-01,1050700800000000.0000
2023-03-01,1055267800000000.0000
2023-04-01,1059203000000000.0000
2023-05-01,1059980900000000.0000
2023-06-01,1064624600000000.0000
2023-07-01,1067645000000000.0000
2023-08-01,1072349900000000.0000
2023-09-01,1076164300000000.0000
2023-10-01,1079579400000000.0000
2023-11-01,1081546500000000.0000
