date,SAV,STDSL,MA
2006-03-01,4011.554865969346,1043.7,5055.254865969346
2006-04-01,4056.8107182944073,1063.3,5120.110718294407
2006-05-01,3964.5560703981273,1084.3,5048.8560703981275
2006-06-01,4012.327056015112,1104.6,5116.927056015112
2006-07-01,3990.192779917553,1128.9,5119.092779917553
2006-08-01,3989.023463562536,1152.3,5141.323463562536
2006-09-01,4004.274216966411,1170.1,5174.374216966411
2006-10-01,3990.457530790387,1186.2,5176.657530790387
2006-11-01,4046.3034180288078,1196.7,5243.003418028808
2006-12-01,4074.2677289718986,1205.8,5280.067728971899
2007-01-01,4065.6026535297688,1213.2,5278.802653529769
2007-02-01,4081.327752247472,1223.1,5304.427752247471
2007-03-01,4134.939803996355,1232.3,5367.2398039963555
2007-04-01,4192.021195308002,1242.6,5434.621195308002
2007-05-01,4164.6139643265,1247.8,5412.4139643265
2007-06-01,4209.318252333156,1248.7,5458.018252333156
2007-07-01,4186.880615860475,1251.3,5438.180615860475
2007-08-01,4233.614660558859,1256.1,5489.714660558859
2007-09-01,4237.034359332965,1265.9,5502.934359332965
2007-10-01,4212.848263970943,1270.8,5483.648263970943
2007-11-01,4259.372714228333,1272.7,5532.072714228333
2007-12-01,4259.7753561807685,1275.7,5535.475356180768
2008-01-01,4258.048959864163,1282.7,5540.748959864163
2008-02-01,4292.356260468901,1286.6,5578.956260468902
2008-03-01,4387.826528341477,1279.5,5667.326528341477
2008-04-01,4454.571326511564,1278.5,5733.071326511564
2008-05-01,4422.3323921008405,1277.4,5699.732392100841
2008-06-01,4442.563771299906,1274.3,5716.863771299906
2008-07-01,4453.826714681718,1285.3,5739.126714681718
2008-08-01,4431.047108331627,1313.1,5744.147108331626
2008-09-01,4424.538649374457,1337.8,5762.338649374457
2008-10-01,4453.633667170277,1399.3,5852.933667170277
2008-11-01,4425.448730499825,1433.9,5859.348730499825
2008-12-01,4496.815637658137,1457.4,5954.215637658137
2009-01-01,4615.821154997019,1448.8,6064.621154997019
2009-02-01,4690.089290470139,1436.3,6126.389290470139
2009-03-01,4814.979999086391,1423.8,6238.779999086391
2009-04-01,4863.969941847048,1403.4,6267.369941847048
2009-05-01,4906.467972580089,1386.7,6293.167972580089
2009-06-01,4927.388807177158,1363.1,6290.488807177158
2009-07-01,4971.607718583619,1335.3,6306.9077185836195
2009-08-01,4989.141948265687,1306.8,6295.941948265687
2009-09-01,5085.312702822636,1274.4,6359.712702822637
2009-10-01,5163.055693501702,1240.3,6403.355693501702
2009-11-01,5245.178104868896,1215.1,6460.278104868896
2009-12-01,5330.3727294896025,1188.6,6518.972729489602
2010-01-01,5329.021396909512,1159.6,6488.6213969095115
2010-02-01,5374.966704632579,1138.7,6513.666704632579
2010-03-01,5453.316416061889,1117.9,6571.216416061889
2010-04-01,5570.082582268049,1098.1,6668.182582268049
2010-05-01,5568.306545162787,1078.1,6646.406545162787
2010-06-01,5611.753266523483,1059.9,6671.653266523483
2010-07-01,5615.200543513509,1042.9,6658.1005435135085
2010-08-01,5632.596882115976,1026.3,6658.896882115976
2010-09-01,5729.815608877892,1004.2,6734.015608877892
2010-10-01,5793.410974789892,980.2,6773.610974789892
2010-11-01,5814.855795489445,956.5,6771.355795489445
2010-12-01,5912.466132917429,934.2,6846.6661329174285
2011-01-01,5906.305159480855,916.1,6822.405159480855
2011-02-01,5980.887686615464,901.3,6882.187686615464
2011-03-01,6077.35628590435,885.8,6963.156285904351
2011-04-01,6153.223957900843,871.9,7025.1239579008425
2011-05-01,6105.000689542768,858.8,6963.800689542768
2011-06-01,6212.6550132088905,846.7,7059.35501320889
2011-07-01,6338.963242123442,833.0,7171.963242123442
2011-08-01,6427.224564354475,819.6,7246.824564354475
2011-09-01,6518.5250059799155,806.8,7325.325005979916
2011-10-01,6525.579513612303,795.3,7320.8795136123035
2011-11-01,6623.791056147348,786.2,7409.991056147348
2011-12-01,6682.091404602667,778.7,7460.791404602667
2012-01-01,6700.447465119158,767.5,7467.947465119158
2012-02-01,6784.516898530319,754.9,7539.416898530319
2012-03-01,6884.763713400274,738.7,7623.463713400274
2012-04-01,6905.144014965309,726.4,7631.544014965309
2012-05-01,6915.651315230907,715.6,7631.2513152309075
2012-06-01,6977.205893164812,709.1,7686.305893164812
2012-07-01,6979.009508485992,698.2,7677.209508485992
2012-08-01,7065.483762325396,691.0,7756.483762325396
2012-09-01,7134.318989262235,682.2,7816.518989262235
2012-10-01,7167.026753343602,670.2,7837.226753343602
2012-11-01,7303.676813228231,658.5,7962.176813228231
2012-12-01,7372.583743526461,647.7,8020.283743526461
2013-01-01,7409.301380202627,635.4,8044.701380202627
2013-02-01,7397.856420595741,626.9,8024.756420595741
2013-03-01,7535.306248742057,623.4,8158.706248742056
2013-04-01,7516.652343493627,616.9,8133.552343493627
2013-05-01,7512.526642391966,607.1,8119.626642391966
2013-06-01,7563.105090389625,595.2,8158.305090389625
2013-07-01,7573.000154261796,582.8,8155.800154261796
2013-08-01,7672.149356138127,580.7,8252.849356138127
2013-09-01,7695.866621829506,577.6,8273.466621829506
2013-10-01,7815.611235355048,573.3,8388.911235355048
2013-11-01,7873.056659116841,569.4,8442.45665911684
2013-12-01,7871.3082002275,571.5,8442.8082002275
2014-01-01,7929.3437978099855,563.7,8493.043797809985
2014-02-01,7937.065698267644,558.5,8495.565698267645
2014-03-01,8013.589731803036,555.3,8568.889731803036
2014-04-01,8082.044379360176,550.6,8632.644379360176
2014-05-01,8047.130358005193,546.8,8593.930358005193
2014-06-01,8051.537356909242,542.2,8593.737356909241
2014-07-01,8141.3651218045425,539.2,8680.565121804542
2014-08-01,8211.082851650828,536.7,8747.782851650829
2014-09-01,8199.135968514194,532.6,8731.735968514195
2014-10-01,8288.081230500049,531.4,8819.481230500049
2014-11-01,8344.754464216076,527.5,8872.254464216076
2014-12-01,8373.540605993587,525.2,8898.740605993587
2015-01-01,8446.986910632286,523.1,8970.086910632286
2015-02-01,8467.532681492841,517.6,8985.132681492842
2015-03-01,8565.661489380123,507.6,9073.261489380124
2015-04-01,8673.707423712314,496.1,9169.807423712315
2015-05-01,8625.58343693155,484.2,9109.783436931551
2015-06-01,8626.642440422887,472.6,9099.242440422888
2015-07-01,8715.212638672227,461.1,9176.312638672227
2015-08-01,8745.670020334504,451.0,9196.670020334504
2015-09-01,8881.233498511878,436.8,9318.033498511877
2015-10-01,8925.000127177247,433.3,9358.300127177246
2015-11-01,8974.21621130845,430.2,9404.416211308451
2015-12-01,9064.463165085737,427.5,9491.963165085737
2016-01-01,9057.072203219122,425.4,9482.472203219122
2016-02-01,9054.08272461337,420.3,9474.38272461337
2016-03-01,9224.306504559263,414.3,9638.606504559262
2016-04-01,9291.45946032497,405.5,9696.95946032497
